Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Si;Si Error;Ti;Ti Error;Al;Al Error;Fe;Fe Error;Mn;Mn Error;Mg;Mg Error;Ca;Ca Error;K;K Error;P;P Error;S;S Error;V;V Error;Cr;Cr Error;Ni;Ni Error;Cu;Cu Error;Zn;Zn Error;Sr;Sr Error;Rb;Rb Error;Nb;Nb Error;Zr;Zr Error;Y;Y Error;Pb;Pb Error;Th;Th Error;U;U Error;Mo;Mo Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;W;W Error;Co;Co Error;Sc;Sc Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cl;Cl Error;Bal;Bal Error
2866;01.11.2024 17:47;TestAll Geo;330,49;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;185261,41;923,09;4646,2;57,42;159683,25;1733,9;42406,7;206,57;640,91;40,42;<LOD;1727,91;21239,08;167,31;29550,78;262,87;1382,24;73,04;634,23;142,86;133,94;8,99;209,96;14,26;125,93;16,42;27,78;8,56;140,61;7,68;193,86;3,07;160,96;3,26;16,47;1,6;108,16;2,74;23,6;1,86;26,8;3,4;4,98;0,71;<LOD;4,99;<LOD;1,5;<LOD;1,87;10,18;2,83;<LOD;31,46;0,43;0,15;<LOD;34,38;<LOD;99,25;25,88;3,36;661,15;20,88;32,38;7,22;475,46;13,79;64,59;5,59;<LOD;0,62;<LOD;5,48;<LOD;3,21;40,56;4,85;279,31;19,03;185,1;15,69;<LOD;46,62;<LOD;1,5;<LOD;1,5;<LOD;1,5;7198,77;62,04;535004,19;3024,94
2865;01.11.2024 17:36;TestAll Geo;330,16;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;190718,61;927,11;1979,19;32,23;36404,11;866,75;23534,72;151,66;776,77;39,9;<LOD;1860,04;44879,8;187,47;16016,17;161,51;10537,6;145,23;1910,52;137,49;57,85;5,67;65,11;18,15;<LOD;26,97;<LOD;13,33;27,5;4,79;160,97;2,76;44,27;1,89;13,53;1,47;224,62;3,37;21,77;1,49;5,95;2,64;2,57;0,55;<LOD;3,37;<LOD;1,5;<LOD;1,77;5,55;2,19;<LOD;29,68;0,24;0,14;<LOD;31,6;73,13;43,93;<LOD;5,31;279,82;19,32;<LOD;10,7;434,13;13,7;53,27;5,58;<LOD;0,61;<LOD;5,43;<LOD;3,07;39,11;4,89;224,06;18,12;138,31;14,9;<LOD;33,46;<LOD;1,5;<LOD;1,5;<LOD;1,5;1535,37;35,48;649974,69;2265,22
2864;01.11.2024 17:29;TestAll Geo;330,33;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;279212,69;1219,59;1431,45;30,59;46083,29;812,36;22447,81;150,65;272,67;30,73;<LOD;1417,07;5197,73;58,12;9766,96;106,86;1251,86;68,4;156,49;61,72;58,97;5,27;71,95;16,02;55,53;15,63;<LOD;12,55;39,24;5,24;137,69;2,62;51,93;2,03;14,79;1,51;242,25;3,51;14,33;1,43;7,71;2,76;2,64;0,57;<LOD;3,47;<LOD;1,5;<LOD;1,97;<LOD;3,33;<LOD;31,69;<LOD;0,21;<LOD;33,77;<LOD;65,19;2,03;1,11;122,79;19,04;<LOD;10,38;343,59;13,43;23,7;5,48;<LOD;0,6;<LOD;5,69;<LOD;3,33;31,71;4,89;150,63;17,81;90,01;14,76;<LOD;34,95;<LOD;1,5;<LOD;1,5;<LOD;1,5;1810,98;33,36;616064,94;2070,78
2863;01.11.2024 17:16;TestAll Geo;330,37;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;287709,53;1091,67;2599,15;35,29;51103,72;846,71;25156,15;149,92;534,49;34,19;<LOD;1463,15;21596,74;139,3;17581,56;174,1;4165,36;85,31;540,76;106,03;78,38;5,91;79,1;17,36;<LOD;25,31;<LOD;12,69;48,67;5,13;209,01;2,98;54,29;1,96;16,89;1,46;228,61;3,29;24,56;1,5;11,22;2,7;3,39;0,57;<LOD;3,48;<LOD;1,5;<LOD;1,58;<LOD;4,43;<LOD;27,97;0,25;0,13;<LOD;30,01;<LOD;80,4;<LOD;4;168,68;16,77;<LOD;9,06;341,03;11,66;20,64;4,73;<LOD;0,53;<LOD;4,84;<LOD;2,73;32,81;4,26;180,6;15,85;98,13;12,98;<LOD;34,65;<LOD;1,5;<LOD;1,5;<LOD;1,5;3048,34;37,3;575136,25;2101,42
2862;01.11.2024 17:02;TestAll Geo;330,56;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;287630,63;1126,77;2456,6;33,09;50876,75;821,13;21125,17;138,54;317,55;30,1;<LOD;1388,01;12111,19;101,08;13551,47;146,76;4756,72;88,65;382,21;89,69;61,87;5,39;72,65;16,06;<LOD;25,95;<LOD;12,58;41,33;4,92;138,64;2,49;49,96;1,9;16,65;1,45;230,02;3,26;16,26;1,38;9,69;2,64;2,74;0,55;<LOD;3,29;<LOD;1,5;<LOD;1,51;<LOD;3,19;<LOD;28,11;0,25;0,13;<LOD;29,91;<LOD;76,17;<LOD;2,89;379,74;18,05;<LOD;9,8;433,06;12,47;51,13;5,06;<LOD;0,56;<LOD;4,95;<LOD;2,75;38,59;4,44;223,93;16,69;152,72;13,86;<LOD;33,03;<LOD;1,5;<LOD;1,5;<LOD;1,5;2510,71;34,31;593979;2050,43
2861;01.11.2024 16:49;TestAll Geo;330,36;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;183091,41;950,05;2496,31;44,23;77696,96;1538,91;22020,39;150,63;561,8;37,69;12428,35;1820,18;215181,38;529,84;9958,06;161,52;1752,91;86,88;<LOD;235,72;75,3;7,5;36,18;12,27;94,69;15,85;<LOD;13,77;43,68;5,42;480,76;4,76;53,27;2,08;10,26;1,45;60,96;2,76;14,18;1,44;14,12;3,02;1,86;0,57;<LOD;4,03;<LOD;1,5;<LOD;1,89;10,72;2,58;8,56;4,58;0,51;0,16;<LOD;34,42;<LOD;80,79;41,21;10,36;556,34;19,56;41,99;6,95;441,3;13,01;47,09;5,22;<LOD;0,57;<LOD;5,47;<LOD;3,14;37,31;4,59;381,05;19,94;244,3;16,23;<LOD;34,98;<LOD;1,5;<LOD;1,5;<LOD;1,5;808,03;34,64;485781,94;3284,04
2860;01.11.2024 16:41;TestAll Geo;330,71;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;173479,36;933,02;2434,68;42,25;69295,4;1424,92;20792,63;146,58;499,61;36,47;11668,89;1775,78;183951,3;456,01;9649,93;155,88;1531,04;84,98;<LOD;239,82;70,69;7,22;21,39;10,92;<LOD;29;<LOD;13,67;45,43;5,47;449,29;4,61;49,62;2,04;8,69;1,44;56,4;2,69;14,6;1,44;9,81;2,88;2,56;0,59;<LOD;4;<LOD;1,5;<LOD;1,92;10,76;2,49;<LOD;31,18;0,46;0,15;<LOD;35,41;92,78;42,79;37,84;8,92;609,22;20,56;50,04;7,25;436,26;13,48;55,51;5,49;<LOD;0,6;<LOD;5,65;<LOD;3,21;35,97;4,75;380,17;20,27;240,65;16,47;<LOD;35,67;<LOD;1,5;<LOD;1,5;<LOD;1,5;783,98;34,88;519002,03;3140,52
2859;01.11.2024 16:34;TestAll Geo;330,19;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;175657,91;921,46;2289,55;40,35;65119,73;1347,59;18877,39;139,74;577,06;37,58;9977,47;1661,7;211213,84;508,28;8326,87;144,31;1628,82;82,97;<LOD;246,65;77,53;7,04;<LOD;17,5;<LOD;27,85;<LOD;13,33;39,49;5,22;465,64;4,69;43,48;1,95;8,81;1,43;65,75;2,78;13,74;1,4;10,43;2,9;2,42;0,58;<LOD;3,98;<LOD;1,5;<LOD;1,86;11,14;2,51;<LOD;30,34;0,38;0,15;<LOD;33,68;<LOD;75,94;28,85;9,9;852,23;21,02;68,86;7,12;471,81;13,32;61,37;5,38;<LOD;0,59;<LOD;5,24;<LOD;2,98;40,02;4,68;352,29;19,05;233,17;15,6;<LOD;35,02;<LOD;1,5;<LOD;1,5;<LOD;1,5;842,23;33,5;521436,81;2991,27
2858;01.11.2024 16:25;TestAll Geo;330,44;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;213950,66;973,01;3349,58;48,16;81382,26;1356,49;30985,22;175,69;762,24;41,14;3517,29;1434,71;117461,78;371,55;15101,67;192,76;2721,91;89,08;<LOD;216,78;99,01;7,82;56,63;12,26;<LOD;27,79;<LOD;13,46;69,57;6,05;360,18;4,08;80,8;2,39;11,37;1,47;104,89;2,89;17,54;1,55;13,41;2,97;2,75;0,6;<LOD;4,28;<LOD;1,5;<LOD;1,88;29,07;2,92;<LOD;31,21;0,46;0,15;<LOD;32,92;<LOD;90,37;33,03;7,29;713,21;20,63;27,5;7,03;438,25;13,23;54,76;5,38;<LOD;0,59;<LOD;5,4;<LOD;3,11;37,99;4,69;307,72;18,87;203,02;15,5;<LOD;38,3;<LOD;1,5;<LOD;1,5;<LOD;1,5;815,55;31,34;520761,72;2851,55
2857;01.11.2024 16:18;TestAll Geo;330,44;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;218622,91;1014,3;2928,46;44,38;74053,92;1304,33;25684,3;168,01;565,01;39,52;<LOD;2196,98;88139,64;283,7;12720,8;164,63;1787,04;83,89;294,13;124,98;90,03;7,3;28,39;9,5;132,06;17,56;<LOD;15,13;55,53;6,02;331,24;4,11;76,99;2,47;10,24;1,53;98,01;2,95;16,3;1,6;12,47;3,08;3,27;0,64;<LOD;4,45;<LOD;1,5;<LOD;2,08;27,77;3,03;<LOD;34,61;0,62;0,17;<LOD;37,45;<LOD;72,62;21,92;5,55;1013,07;24,01;123,68;8,11;510,24;15,04;76,34;6,08;<LOD;0,67;<LOD;6,14;<LOD;3,47;41,69;5,23;423,55;22,46;283,71;18,35;<LOD;40,39;<LOD;1,5;<LOD;1,5;<LOD;1,5;816,9;32,91;538540,63;2873,88
